Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"TCL","Crops and livestock products","356","India","66008","Calcium content of exports (mg/capita/day)","0113","Rice","2003","2003","mg","0.01","E","Estimated value",""
"TCL","Crops and livestock products","356","India","66009","Iron content of exports (mg/capita/day)","0113","Rice","2003","2003","mg","0","E","Estimated value",""
"TCL","Crops and livestock products","356","India","66010","Magnesium content of exports (mg/capita/day)","0113","Rice","2003","2003","mg","0.06","E","Estimated value",""
"TCL","Crops and livestock products","356","India","66011","Phosphorus content of exports (mg/capita/day)","0113","Rice","2003","2003","mg","0.13","E","Estimated value",""
"TCL","Crops and livestock products","356","India","66012","Potassium content of exports (mg/capita/day)","0113","Rice","2003","2003","mg","0.12","E","Estimated value",""
"TCL","Crops and livestock products","356","India","66014","Zinc content of exports (mg/capita/day)","0113","Rice","2003","2003","mg","0","E","Estimated value",""
"TCL","Crops and livestock products","356","India","66016","Vitamin A (RE) content of exports (mcg/capita/day)","0113","Rice","2003","2003","μg","0","E","Estimated value",""
"TCL","Crops and livestock products","356","India","66017","Vitamin A (RAE) content of exports (mcg/capita/day)","0113","Rice","2003","2003","μg","0","E","Estimated value",""
"TCL","Crops and livestock products","356","India","66020","Thiamin content of exports (mg/capita/day)","0113","Rice","2003","2003","mg","0","E","Estimated value",""
"TCL","Crops and livestock products","356","India","66021","Riboflavin content of exports (mg/capita/day)","0113","Rice","2003","2003","mg","0","E","Estimated value",""
"TCL","Crops and livestock products","356","India","66028","Vitamin C content of exports (mg/capita/day)","0113","Rice","2003","2003","mg","0","E","Estimated value",""
"TCL","Crops and livestock products","356","India","5610","Import quantity","0113","Rice","2004","2004","t","0","X","Figure from international organizations","Estimated data using trading partners database"
"TCL","Crops and livestock products","356","India","5622","Import value","0113","Rice","2004","2004","1000 USD","0","X","Figure from international organizations","Estimated data using trading partners database"
"TCL","Crops and livestock products","356","India","5910","Export quantity","0113","Rice","2004","2004","t","6090","A","Official figure",""
"TCL","Crops and livestock products","356","India","5922","Export value","0113","Rice","2004","2004","1000 USD","1563","A","Official figure",""
"TCL","Crops and livestock products","356","India","66002","Energy content of exports (kcal/capita/day)","0113","Rice","2004","2004","Kcal","0.04","E","Estimated value",""
