Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"OA","Annual population","159","China","512","Total Population - Male","3010","Population - Est. & Proj.","1988","1988","1000 No","581420.032","X","Figure from international organizations",""
"OA","Annual population","159","China","513","Total Population - Female","3010","Population - Est. & Proj.","1988","1988","1000 No","559889.585","X","Figure from international organizations",""
"OA","Annual population","159","China","551","Rural population","3010","Population - Est. & Proj.","1988","1988","1000 No","857404.275","X","Figure from international organizations",""
"OA","Annual population","159","China","561","Urban population","3010","Population - Est. & Proj.","1988","1988","1000 No","301262.584","X","Figure from international organizations",""
"OA","Annual population","159","China","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1989","1989","1000 No","1160289.71","X","Figure from international organizations",""
"OA","Annual population","159","China","512","Total Population - Male","3010","Population - Est. & Proj.","1989","1989","1000 No","591228.484","X","Figure from international organizations",""
"OA","Annual population","159","China","513","Total Population - Female","3010","Population - Est. & Proj.","1989","1989","1000 No","569061.227","X","Figure from international organizations",""
"OA","Annual population","159","China","551","Rural population","3010","Population - Est. & Proj.","1989","1989","1000 No","864255.4","X","Figure from international organizations",""
"OA","Annual population","159","China","561","Urban population","3010","Population - Est. & Proj.","1989","1989","1000 No","315438.363","X","Figure from international organizations",""
"OA","Annual population","159","China","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1990","1990","1000 No","1180089.35","X","Figure from international organizations",""
"OA","Annual population","159","China","512","Total Population - Male","3010","Population - Est. & Proj.","1990","1990","1000 No","601518.164","X","Figure from international organizations",""
"OA","Annual population","159","China","513","Total Population - Female","3010","Population - Est. & Proj.","1990","1990","1000 No","578571.187","X","Figure from international organizations",""
"OA","Annual population","159","China","551","Rural population","3010","Population - Est. & Proj.","1990","1990","1000 No","869305.609","X","Figure from international organizations",""
"OA","Annual population","159","China","561","Urban population","3010","Population - Est. & Proj.","1990","1990","1000 No","329576.683","X","Figure from international organizations",""
"OA","Annual population","159","China","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1991","1991","1000 No","1197560.64","X","Figure from international organizations",""
"OA","Annual population","159","China","512","Total Population - Male","3010","Population - Est. & Proj.","1991","1991","1000 No","610614.971","X","Figure from international organizations",""
"OA","Annual population","159","China","513","Total Population - Female","3010","Population - Est. & Proj.","1991","1991","1000 No","586945.668","X","Figure from international organizations",""
"OA","Annual population","159","China","551","Rural population","3010","Population - Est. & Proj.","1991","1991","1000 No","871145.54","X","Figure from international organizations",""
"OA","Annual population","159","China","561","Urban population","3010","Population - Est. & Proj.","1991","1991","1000 No","344764.634","X","Figure from international organizations",""
"OA","Annual population","159","China","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1992","1992","1000 No","1211688.13","X","Figure from international organizations",""
"OA","Annual population","159","China","512","Total Population - Male","3010","Population - Est. & Proj.","1992","1992","1000 No","617966.515","X","Figure from international organizations",""
"OA","Annual population","159","China","513","Total Population - Female","3010","Population - Est. & Proj.","1992","1992","1000 No","593721.615","X","Figure from international organizations",""
"OA","Annual population","159","China","551","Rural population","3010","Population - Est. & Proj.","1992","1992","1000 No","871217.58","X","Figure from international organizations",""
"OA","Annual population","159","China","561","Urban population","3010","Population - Est. & Proj.","1992","1992","1000 No","359784.753","X","Figure from international organizations",""
"OA","Annual population","159","China","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1993","1993","1000 No","1224767.096","X","Figure from international organizations",""
"OA","Annual population","159","China","512","Total Population - Male","3010","Population - Est. & Proj.","1993","1993","1000 No","624775.387","X","Figure from international organizations",""
"OA","Annual population","159","China","513","Total Population - Female","3010","Population - Est. & Proj.","1993","1993","1000 No","599991.709","X","Figure from international organizations",""
"OA","Annual population","159","China","551","Rural population","3010","Population - Est. & Proj.","1993","1993","1000 No","869646.991","X","Figure from international organizations",""
"OA","Annual population","159","China","561","Urban population","3010","Population - Est. & Proj.","1993","1993","1000 No","374738.726","X","Figure from international organizations",""
"OA","Annual population","159","China","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1994","1994","1000 No","1236792.62","X","Figure from international organizations",""
"OA","Annual population","159","China","512","Total Population - Male","3010","Population - Est. & Proj.","1994","1994","1000 No","631035.726","X","Figure from international organizations",""
"OA","Annual population","159","China","513","Total Population - Female","3010","Population - Est. & Proj.","1994","1994","1000 No","605756.894","X","Figure from international organizations",""
"OA","Annual population","159","China","551","Rural population","3010","Population - Est. & Proj.","1994","1994","1000 No","866728.825","X","Figure from international organizations",""
"OA","Annual population","159","China","561","Urban population","3010","Population - Est. & Proj.","1994","1994","1000 No","389770.206","X","Figure from international organizations",""
"OA","Annual population","159","China","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1995","1995","1000 No","1248244.219","X","Figure from international organizations",""
"OA","Annual population","159","China","512","Total Population - Male","3010","Population - Est. & Proj.","1995","1995","1000 No","636993.442","X","Figure from international organizations",""
"OA","Annual population","159","China","513","Total Population - Female","3010","Population - Est. & Proj.","1995","1995","1000 No","611250.777","X","Figure from international organizations",""
"OA","Annual population","159","China","551","Rural population","3010","Population - Est. & Proj.","1995","1995","1000 No","862750.879","X","Figure from international organizations",""
"OA","Annual population","159","China","561","Urban population","3010","Population - Est. & Proj.","1995","1995","1000 No","404943.424","X","Figure from international organizations",""
"OA","Annual population","159","China","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1996","1996","1000 No","1259363.581","X","Figure from international organizations",""
"OA","Annual population","159","China","512","Total Population - Male","3010","Population - Est. & Proj.","1996","1996","1000 No","642771.965","X","Figure from international organizations",""
"OA","Annual population","159","China","513","Total Population - Female","3010","Population - Est. & Proj.","1996","1996","1000 No","616591.616","X","Figure from international organizations",""
"OA","Annual population","159","China","551","Rural population","3010","Population - Est. & Proj.","1996","1996","1000 No","857727.869","X","Figure from international organizations",""
"OA","Annual population","159","China","561","Urban population","3010","Population - Est. & Proj.","1996","1996","1000 No","420253.079","X","Figure from international organizations",""
"OA","Annual population","159","China","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1997","1997","1000 No","1269856.693","X","Figure from international organizations",""
"OA","Annual population","159","China","512","Total Population - Male","3010","Population - Est. & Proj.","1997","1997","1000 No","648228.268","X","Figure from international organizations",""
"OA","Annual population","159","China","513","Total Population - Female","3010","Population - Est. & Proj.","1997","1997","1000 No","621628.425","X","Figure from international organizations",""
"OA","Annual population","159","China","551","Rural population","3010","Population - Est. & Proj.","1997","1997","1000 No","851706.035","X","Figure from international organizations",""
"OA","Annual population","159","China","561","Urban population","3010","Population - Est. & Proj.","1997","1997","1000 No","435602.481","X","Figure from international organizations",""
"OA","Annual population","159","China","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1998","1998","1000 No","1279840.497","X","Figure from international organizations",""
"OA","Annual population","159","China","512","Total Population - Male","3010","Population - Est. & Proj.","1998","1998","1000 No","653425.88","X","Figure from international organizations",""
"OA","Annual population","159","China","513","Total Population - Female","3010","Population - Est. & Proj.","1998","1998","1000 No","626414.617","X","Figure from international organizations",""
"OA","Annual population","159","China","551","Rural population","3010","Population - Est. & Proj.","1998","1998","1000 No","844831.29","X","Figure from international organizations",""
"OA","Annual population","159","China","561","Urban population","3010","Population - Est. & Proj.","1998","1998","1000 No","451089.258","X","Figure from international organizations",""
"OA","Annual population","159","China","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1999","1999","1000 No","1289427.213","X","Figure from international organizations",""
"OA","Annual population","159","China","512","Total Population - Male","3010","Population - Est. & Proj.","1999","1999","1000 No","658451.148","X","Figure from international organizations",""
"OA","Annual population","159","China","513","Total Population - Female","3010","Population - Est. & Proj.","1999","1999","1000 No","630976.065","X","Figure from international organizations",""
